client_id,city,channel,promotor_id,yearly_volume,yearly_income,yearly_number_of_orders,median_ticket,prom_contacts_month,frequency,efficiency,logistics_cost,visit_cost,total_cost
100006690,Madrid,AR,275609911,1658.706,1494.53,22,60.400000000000006,2,2.0,1.0909090909090908,220,360,580
100008050,Barcelona,AR,368568690,3982.0,1905.59,14,132.37,0,1.0,0.0,140,0,140
100042162,Barcelona,HR,455263770,1812.85,2243.3,14,128.78,4,1.0,3.4285714285714284,140,720,860
100046227,Barcelona,AR,454554895,4590.18,2273.12,16,129.06,2,4.0,1.5,160,360,520
100125158,Cádiz,HR,483340469,1266.5,2204.24,25,87.5825,1,3.0,0.48,250,180,430
100137028,Murcia,AR,733727842,3930.0,1463.61,23,65.69,0,2.0,0.0,230,0,230
100163544,Castellón,HR,988985367,867.174,1799.9099999999999,14,100.605,0,2.0,0.0,140,0,140
100167744,Barcelona,AR,368568690,3054.4700000000003,1037.01,7,121.5925,0,1.0,0.0,70,0,70
100175807,Murcia,HR,205150913,3694.53,4658.89,80,44.864999999999995,0,8.0,0.0,800,0,800
100179704,Barcelona,AR,9820087,81.57,88.33,1,88.33,2,1.0,24.0,10,360,370
100193925,Madrid,HR,268093511,4212.384,6414.33,49,116.0475,4,4.0,0.9795918367346939,490,720,1210
100198216,Madrid,AR,358006057,785.4960000000001,571.66,9,61.5475,1,1.5,1.3333333333333333,90,180,270
100229632,Girona,HR,982751127,673.5,496.73,6,64.175,1,1.0,2.0,60,180,240
100232770,Madrid,HR,991770420,5031.45,10214.79,72,115.17250000000001,4,6.0,0.6666666666666666,720,720,1440
100234953,Burgos,HR,466760699,841.32,1376.41,22,61.18,2,2.0,1.0909090909090908,220,360,580
100262932,Barcelona,HR,101664247,940.354,2934.19,16,176.9275,2,1.0,1.5,160,360,520
100296856,Valladolid,AR,256358709,1494.98,1769.46,16,116.74,1,1.0,0.75,160,180,340
100336919,Santander,HR,74716188,998.51,3231.25,50,59.11,4,4.0,0.96,500,720,1220
100349828,Madrid,HR,268093511,1115.169,4008.34,16,265.53,4,1.0,3.0,160,720,880
100363218,Santander,AR,77675001,2034.4399999999998,2115.68,33,60.13,4,3.0,1.4545454545454546,330,720,1050
100370706,Madrid,HR,400328751,3409.712,4582.650000000001,47,88.89750000000001,2,4.0,0.5106382978723404,470,360,830
100411623,Madrid,HR,621775730,2179.952,2071.39,23,81.5,1,2.0,0.5217391304347826,230,180,410
