client_id,volume,income,median_ticket,prom_contacts_month_old,frequency_old,efficiency_old,total_cost_old,total_cost_new,efficiency_new,prom_contacts_month_new,frequency_new,savings
100008050,3982.0,1905.59,132.37,0,1.0,0.0,140,350,1.0,1.1666666666666667,1.1666666666666667,210
100125158,1266.5,2204.24,87.5825,1,3.0,2.0833333333333335,430,625,1.0,2.0833333333333335,2.0833333333333335,195
100137028,3930.0,1463.61,65.69,0,2.0,0.0,230,575,1.0,1.9166666666666667,1.9166666666666667,345
100163544,867.174,1799.9099999999999,100.605,0,2.0,0.0,140,350,1.0,1.1666666666666667,1.1666666666666667,210
100167744,3054.4700000000003,1037.01,121.5925,0,1.0,0.0,70,175,1.0,0.5833333333333334,0.5833333333333334,105
100175807,3694.53,4658.89,44.864999999999995,0,8.0,0.0,800,2000,1.0,6.666666666666667,6.666666666666667,1200
100193925,4212.384,6414.33,116.0475,4,4.0,1.0208333333333333,1210,1225,1.0,4.083333333333333,4.083333333333333,15
100232770,5031.45,10214.79,115.17250000000001,4,6.0,1.5,1440,1800,1.0,6.0,6.0,360
100296856,1494.98,1769.46,116.74,1,1.0,1.3333333333333333,340,400,1.0,1.3333333333333333,1.3333333333333333,60
100336919,998.51,3231.25,59.11,4,4.0,1.0416666666666667,1220,1250,1.0,4.166666666666667,4.166666666666667,30
100370706,3409.712,4582.650000000001,88.89750000000001,2,4.0,1.9583333333333333,830,1175,1.0,3.9166666666666665,3.9166666666666665,345
100411623,2179.952,2071.39,81.5,1,2.0,1.9166666666666667,410,575,1.0,1.9166666666666667,1.9166666666666667,165
100423045,2064.538,1094.89,67.84,1,1.0,1.1666666666666667,320,350,1.0,1.1666666666666667,1.1666666666666667,30
100458931,8760.084,4393.86,96.7775,2,4.0,1.875,810,1125,1.0,3.75,3.75,315
100606314,882.788,1639.09,52.8725,2,2.0,1.1666666666666667,640,700,1.0,2.3333333333333335,2.3333333333333335,60
100667781,3402.0,1054.6200000000001,115.92,0,1.0,0.0,90,225,1.0,0.75,0.75,135
100669816,2387.098,5555.4,104.41999999999999,1,4.0,4.083333333333333,670,1225,1.0,4.083333333333333,4.083333333333333,555
100729381,8608.71,7134.219999999999,121.525,0,4.0,0.0,510,1275,1.0,4.25,4.25,765
100730188,3870.642,11920.77,235.265,4,4.5,1.1041666666666667,1250,1325,1.0,4.416666666666667,4.416666666666667,75
100750970,72.0,178.4,178.4,0,1.0,0.0,10,25,1.0,0.08333333333333333,0.08333333333333333,15
100831168,5168.284,1746.13,122.57000000000001,0,1.0,0.0,130,325,1.0,1.0833333333333333,1.0833333333333333,195
